rootAge_hpd_min,1864
rootAge_hpd_max,1941
rootAge_mean,1908
rootAge_median,1914
clockRate_hpd_min,1.51$ \times 10^{-4}$
clockRate_hpd_max,2.85$ \times 10^{-4}$
clockRate_mean,2.13$ \times 10^{-4}$
clockRate_median,2.21$ \times 10^{-4}$
latentBranches_hpd_min,7
latentBranches_hpd_max,10
latentBranches_mean,8.6
latentBranches_median,8.5
latentStateRate_hpd_min,0.04
latentStateRate_hpd_max,0.09
latentStateRate_mean,0.07
latentStateRate_median,0.07
latentStateBias_hpd_min,0.721
latentStateBias_hpd_max,0.936
latentStateBias_mean,0.81
latentStateBias_median,0.86
