rootAge_hpd_min,1862
rootAge_hpd_max,1946
rootAge_mean,1913
rootAge_median,1919
clockRate_hpd_min,1.43$ \times 10^{-4}$
clockRate_hpd_max,3.22$ \times 10^{-4}$
clockRate_mean,2.33$ \times 10^{-4}$
clockRate_median,2.37$ \times 10^{-4}$
latentBranches_hpd_min,6
latentBranches_hpd_max,10
latentBranches_mean,7.6
latentBranches_median,7
latentStateRate_hpd_min,0.04
latentStateRate_hpd_max,0.13
latentStateRate_mean,0.08
latentStateRate_median,0.08
latentStateBias_hpd_min,0.479
latentStateBias_hpd_max,0.955
latentStateBias_mean,0.75
latentStateBias_median,0.76
