rootAge_hpd_min,1926
rootAge_hpd_max,1956
rootAge_mean,1942
rootAge_median,1943
clockRate_hpd_min,2.03$ \times 10^{-4}$
clockRate_hpd_max,3.26$ \times 10^{-4}$
clockRate_mean,2.62$ \times 10^{-4}$
clockRate_median,2.64$ \times 10^{-4}$
latentBranches_hpd_min,4
latentBranches_hpd_max,7
latentBranches_mean,5.4
latentBranches_median,5
latentStateRate_hpd_min,0.01
latentStateRate_hpd_max,0.04
latentStateRate_mean,0.02
latentStateRate_median,0.02
latentStateBias_hpd_min,0.310
latentStateBias_hpd_max,0.846
latentStateBias_mean,0.60
latentStateBias_median,0.61
