rootAge_hpd_min,1704
rootAge_hpd_max,1938
rootAge_mean,1838
rootAge_median,1847
clockRate_hpd_min,4.47$ \times 10^{-5}$
clockRate_hpd_max,1.85$ \times 10^{-4}$
clockRate_mean,1.10$ \times 10^{-4}$
clockRate_median,9.27$ \times 10^{-5}$
latentBranches_hpd_min,1
latentBranches_hpd_max,5
latentBranches_mean,2.6
latentBranches_median,3
latentStateRate_hpd_min,0.00
latentStateRate_hpd_max,0.02
latentStateRate_mean,0.01
latentStateRate_median,0.01
latentStateBias_hpd_min,0.171
latentStateBias_hpd_max,0.869
latentStateBias_mean,0.54
latentStateBias_median,0.54
