rootAge_hpd_min,1745
rootAge_hpd_max,1943
rootAge_mean,1850
rootAge_median,1852
clockRate_hpd_min,4.77$ \times 10^{-5}$
clockRate_hpd_max,2.41$ \times 10^{-4}$
clockRate_mean,1.13$ \times 10^{-4}$
clockRate_median,8.41$ \times 10^{-5}$
latentBranches_hpd_min,0
latentBranches_hpd_max,6
latentBranches_mean,2.6
latentBranches_median,3
latentStateRate_hpd_min,0.00
latentStateRate_hpd_max,0.02
latentStateRate_mean,0.01
latentStateRate_median,0.01
latentStateBias_hpd_min,0.156
latentStateBias_hpd_max,0.902
latentStateBias_mean,0.54
latentStateBias_median,0.56
